Term,Category,Reasoning,NLD
Reservoir,Sedimentary Geological Object,"The NLD defines a reservoir as a 'corpo rochoso' (rock body) which is typically carbonate, a type of sedimentary rock, fitting the definition of a geological object constituted by sedimentary rock.","Um reservatório é um corpo rochoso, tipicamente carbonático de fácies lacustres do Aptiano, que possui um sistema de poros e fraturas interconectado capaz de armazenar e permitir a produção de hidrocarbonetos em volumes economicamente viáveis."
Microbial Carbonate,Sedimentary Rock,"The NLD explicitly defines the term as a 'carbonate rock' whose precipitation and accumulation are mediated by biological activity, fitting the definition of a type of Sedimentary Rock.","Carbonato microbiano é uma rocha carbonática cuja precipitação e acumulação são mediadas pela atividade metabólica de comunidades de microrganismos, como bactérias e algas. Essas rochas se desenvolvem a partir da interação entre processos físico-químicos e biológicos, resultando em uma ampla variedade de fácies e texturas, como laminitos, grumulosos (clotted) e arbustivos (shrubs). No Pré-Sal brasileiro, constituem os principais reservatórios de hidrocarbonetos, caracterizados por um sistema poroso complexo e heterogêneo."
Coquina,Sedimentary Rock,"The NLD explicitly defines Coquina as a 'rocha' (rock) formed by the accumulation of shells, which aligns with the definition of a rock constituted by a collection of sedimentary grains or particles.","Coquina é uma rocha carbonática bioclásitca que, no contexto do Pré-Sal brasileiro, é formada pela acumulação de conchas de moluscos bivalves e gastrópodes em um sistema lacustre de alta energia. Esta rocha constitui os principais reservatórios da Bacia de Santos, caracterizando-se por uma elevada porosidade e permeabilidade primárias. Sua qualidade como reservatório pode ser significativamente melhorada por processos diagenéticos de dissolução."
Source Rock,Sedimentary Rock,The NLD explicitly defines the term as a 'rocha sedimentar' (sedimentary rock) constituted by fine grains and organic matter.,"Rocha Geradora é uma rocha sedimentar de granulação fina que, por possuir concentração anômala de matéria orgânica, tem o potencial de gerar e expelir hidrocarbonetos quando submetida a condições adequadas de soterramento e maturação térmica. No contexto do Pré-Sal brasileiro, estas rochas são tipicamente folhelhos e margas de origem lacustre, depositados em condições anóxicas durante a fase sag. A qualidade e o tipo de querogênio sapropélico presente determinam a sua alta capacidade de geração de óleo."
Seal,Sedimentary Rock,"The NLD explicitly defines a seal as a rock ('uma rocha') and provides evaporites, a type of sedimentary rock, as a key example.","Selo é uma rocha que, por possuir baixíssima permeabilidade e elevada pressão de entrada capilar, impede a migração vertical de hidrocarbonetos e define o limite superior de uma trapa. A integridade e a capacidade de retenção desta camada são críticas para a existência de uma acumulação, sendo os evaporitos do Aptiano o selo regional arquetípico que viabilizou as acumulações gigantes do Pré-Sal brasileiro."
Trap,Geological Structure,"The NLD defines a trap as a 'geological configuration' based on the juxtaposition and geometry of different rocks, which matches the definition of a Geological Structure as the arrangement and relationship of a geological object's parts.","Armadilha é uma configuração geológica que, por meio da justaposição de rochas reservatório e selante, apresenta uma geometria que impede a migração de hidrocarbonetos, causando sua acumulação em subsuperfície. No contexto do Pré-Sal brasileiro, as armadilhas são predominantemente estruturais, associadas à tectônica do sal, e seladas pela espessa camada evaporítica que capeia os reservatórios carbonáticos."
Rift Phase,Geological Time Interval,"The NLD defines the term as a tectono-stratigraphic 'phase' or 'stage' during which specific geological processes occurred, which corresponds to the definition of a geological time interval.","A Fase Rift é a fase tectono-estratigráfica inicial na evolução das bacias marginais brasileiras que é caracterizada por tectonismo extensional, responsável pela formação da arquitetura de horsts e grabens. Durante este estágio, ocorreu a deposição das principais rochas geradoras lacustres do sistema petrolífero do Pré-Sal em um ambiente continental de alto fluxo térmico. A sedimentação associada é predominantemente siliciclástica e preenche as depressões tectônicas formadas."
Sag Phase,Geological Time Interval,"The NLD defines the term as a tectono-stratigraphic phase, which is a period of time characterized by specific geological processes like subsidence and deposition.","A Fase Sag é uma fase tectono-estratigráfica que sucede a fase rifte e é caracterizada pela subsidência termal da crosta continental. No contexto do Pré-Sal brasileiro, esta fase engloba a deposição dos reservatórios carbonáticos e culmina com a sedimentação da espessa camada de sal aptiana. Esta camada de sal constitui a principal rocha selante do sistema petrolífero."
Pre-Salt,Depositional System,"The NLD describes the Pre-Salt as a large-scale 'stratigraphic sequence' and 'succession' of rocks, which corresponds to an aggregate of mereotopologically linked depositional units.","O Pré-sal é uma sequência estratigráfica do Cretáceo Inferior que ocorre, nas bacias da margem continental leste brasileira, em posição estratigráfica imediatamente abaixo de uma espessa camada de evaporitos do Aptiano. Esta sucessão foi depositada em um ambiente de rifte continental e é composta por rochas geradoras e reservatórios, com destaque para os carbonatos microbianos e coquinas de origem lacustre. Ela constitui o principal domínio exploratório para hidrocarbonetos no Brasil."
Salt,Sedimentary Rock,"The NLD explicitly defines the term as an 'evaporitic rock' ('rocha evaporítica'), which is a specific type of sedimentary rock.","Sal é uma rocha evaporítica que é composta predominantemente pelo mineral halita (NaCl), formada pela precipitação química em ambientes de alta evaporação. No contexto do Pré-Sal brasileiro, esta rocha constitui a espessa camada do Aptiano que funciona como a principal rocha selante regional do sistema petrolífero. Suas propriedades de alta ductilidade e condutividade térmica influenciam significativamente a geometria estrutural das bacias e o gradiente geotérmico local."
